Allele	HLA.Population.Frequency
1	HLA-A0101	0.259540759
2	HLA-A0201	0.42691653
3	HLA-A0202	0.00998215
4	HLA-A0203	0.004799559
5	HLA-A0205	0.020643889
6	HLA-A0206	0.010514732
7	HLA-A0207	0.004792261
8	HLA-A0211	0.003166667
9	HLA-A0212	8.74e-06
10	HLA-A0216	0.000177392
11	HLA-A0217	0.001296184
12	HLA-A0219	4.7e-06
13	HLA-A0301	0.234522499
14	HLA-A0302	0.006167629
15	HLA-A1101	0.120844556
16	HLA-A2301	0.055682289
17	HLA-A2402	0.172249056
18	HLA-A2403	0.005023521
19	HLA-A2501	0.035635421
20	HLA-A2601	0.062904839
21	HLA-A2602	0.000482164
22	HLA-A2603	0.000306503
23	HLA-A2902	0.057922409
24	HLA-A3001	0.039002719
25	HLA-A3002	0.027533222
26	HLA-A3101	0.049745758
27	HLA-A3201	0.064171561
28	HLA-A3207	1.39e-05
29	HLA-A3301	0.019571455
30	HLA-A6601	0.010364538
31	HLA-A6801	0.066208687
32	HLA-A6802	0.026330135
33	HLA-A6823	1.08e-06
34	HLA-A6901	0.003302353
35	HLA-A8001	0.001798197
36	HLA-B0702	0.20967576
37	HLA-B0801	0.173986492
38	HLA-B0802	3.48e-06
39	HLA-B0803	3.98e-06
40	HLA-B1401	0.015919882
41	HLA-B1402	0.050848194
42	HLA-B1501	0.103794734
43	HLA-B1502	0.005981648
44	HLA-B1503	0.014961802
45	HLA-B1509	0.000513482
46	HLA-B1517	0.009289155
47	HLA-B1801	0.084945752
48	HLA-B2705	0.059822044
49	HLA-B2720	5.2e-06
50	HLA-B3501	0.113239329
51	HLA-B3503	0.036056097
52	HLA-B3701	0.026296303
53	HLA-B3801	0.041226092
54	HLA-B3901	0.021617024
55	HLA-B4001	0.090536738
56	HLA-B4002	0.028947761
57	HLA-B4013	1.13e-06
58	HLA-B4201	0.010638019
59	HLA-B4402	0.14206204
60	HLA-B4403	0.088364069
61	HLA-B4501	0.018920943
62	HLA-B4506	5.44e-07
63	HLA-B4601	0.007478633
64	HLA-B4801	0.004692233
65	HLA-B5101	0.097755644
66	HLA-B5301	0.029060811
67	HLA-B5401	0.002940699
68	HLA-B5701	0.061803595
69	HLA-B5703	0.007739473
70	HLA-B5801	0.028678113
71	HLA-B5802	0.007954319
72	HLA-B7301	0.001003438
73	HLA-B8101	0.003879021
74	HLA-B8301	3.08e-06
75	HLA-C0303	0.091305889
76	HLA-C0401	0.232824792
77	HLA-C0501	0.138874608
78	HLA-C0602	0.175230991
79	HLA-C0701	0.265416241
80	HLA-C0702	0.244041452
81	HLA-C0802	0.066689646
82	HLA-C1203	0.096367591
83	HLA-C1402	0.031302002
84	HLA-C1502	0.048227362
